,Original Size (bytes),Dictionary Size (bytes),estimated_dict_size ,Compressed Dictionary Size (bytes),Verify Flag Data,Verify Flag Dictionary,pattern_comp,pattern_comp_dict_zstd,zstd_comp_size,snappy_comp_size,pattern_comp_dict_int_zstd,pattern_comp_dict_int_snappy,pattern_comp_dict_int_zstd_delta,pattern_comp_dict_int_snappy_delta
0,16000,16255,2078.0,170,True,True,16292,1486,758,4446,1141,2143,207,485
1,16000,16255,2078.0,170,True,True,16292,1486,758,4446,1141,2143,207,485
2,16000,16255,2078.0,170,True,True,16292,1486,758,4446,1141,2143,207,485
3,16000,16255,2078.0,170,True,True,16292,1486,758,4446,1141,2143,207,485
4,16000,16255,2078.0,170,True,True,16292,1486,758,4446,1141,2143,207,485
5,16000,16255,2078.0,170,True,True,16292,1486,758,4446,1141,2143,207,485
6,16000,16255,2078.0,170,True,True,16292,1486,758,4446,1141,2143,207,485
7,16000,16255,2078.0,170,True,True,16292,1486,758,4446,1141,2143,207,485
8,16000,16255,2078.0,170,True,True,16292,1486,758,4446,1141,2143,207,485
9,16000,16255,2078.0,170,True,True,16292,1486,758,4446,1141,2143,207,485
