block,orig_k0,orig_k1,orig_k2,orig_k3,orig_k4,orig_fw_8bit,tdt_k0,tdt_k1,tdt_k2,tdt_k3,tdt_k4,tdt_fw_8bit,custom_k0,custom_k1,custom_k2,custom_k3,custom_k4,custom_fw_8bit
0,4.277003014577262,1.4538673404083675,1.0578323267723189,0.8923541238584987,0.7932309853694005,4.277003014577261,4.277003014577262,3.015611298282782,1.0036402926498484,0.834160157405838,0.19411638784509266,4.277003014577261,3.528539691693062,0.8799996832272315,0.18962026216910455,0.10596663762983997,0.07285761123960385,4.182991840403218
1,4.190371127396801,1.4883897957403478,1.0810025843615951,0.9107318755298496,0.8285343662532317,4.190371127396801,4.190371127396801,2.9415200371291843,1.0976223453750218,0.8752625917717459,0.20740061775404947,4.190371127396801,3.4817907252284783,0.9755231461795374,0.227637773813494,0.10522563586350193,0.08492561520754309,4.128549407199556
2,4.141115273015113,1.4365655006623506,1.0730571068403199,0.9217772051685296,0.8130923273798886,4.141115273015112,4.141115273015113,3.0553327194163735,1.0851963544482728,0.8598765992442465,0.1889601750330815,4.141115273015112,3.4721636914336407,0.998937910463186,0.25163369484483883,0.09499565794365973,0.0799232667790768,4.064091741381965
3,4.296583277015441,1.433354460429269,1.0480355601865339,0.8633319347573417,0.7796945356793723,4.296583277015441,4.296583277015441,2.9319768214887056,1.0645307935404784,0.8556631055617708,0.1683697742951879,4.296583277015441,3.5816148822538634,0.8837883269041154,0.2050155297606678,0.08163072970464215,0.08095961630191517,4.251160290441672
4,4.241756496656664,1.444500027490618,1.0723204891285076,0.9182729362318593,0.8166197140655233,4.241756496656663,4.241756496656664,2.9970614878627337,1.0615885660587174,0.8670285692470253,0.17293168638891182,4.241756496656663,3.515896248955214,0.9521336872463522,0.23724182946207328,0.10325925958625094,0.08045478089141961,4.173173881907532
5,4.261774887799908,1.463313513700453,1.056007116848954,0.8939583018639637,0.7893080741093581,4.261774887799909,4.261774887799908,2.9381098338641034,1.026756278987274,0.8432580951676114,0.19806629529827752,4.261774887799909,3.547656111418655,0.9015184901379416,0.23226670240491257,0.0898916367534343,0.0769517288056035,4.177286012825062
6,4.256907230483162,1.4142757079540682,1.036150650850839,0.8515735158061172,0.7417478206160977,4.256907230483161,4.256907230483162,2.8926077941179704,0.9878647196023798,0.8542978658399988,0.2557055710832083,4.256907230483161,3.589235671397074,0.8772791712541527,0.20857856472626699,0.13582312133546648,0.09177996182966268,4.197191144829568
7,4.141922993100971,1.457590838630285,1.0709413097511318,0.9111351390135433,0.8222826048360453,4.141922993100971,4.141922993100971,3.0050816982464243,1.1257864877733883,0.9052289292649004,0.1929930723859353,4.141922993100971,3.445341388702976,1.021583481439757,0.26741539853029606,0.10923832709080611,0.07873831385816561,4.102040685362896
8,4.1772407168125,1.4340184510035932,1.072511629807526,0.925427843615682,0.8291078008211731,4.177240716812501,4.1772407168125,3.05453654062879,1.0740284046212518,0.8574795541515007,0.1910698328759282,4.177240716812501,3.4651668587624997,0.9057041258163615,0.25195417950246485,0.0822073667393708,0.073971302274185,4.063631107005664
9,4.294448616441242,1.4798654271802718,1.0555940956759426,0.8844352744600512,0.80455551619106,4.294448616441243,4.294448616441242,2.938906422599551,1.1117371974779908,0.9150978353441923,0.17566971571444778,4.294448616441243,3.594712260757774,0.9227064532670899,0.21577739228732887,0.09938138559464198,0.08557487033638315,4.254059336972544
10,4.111030196424611,1.4129917134013437,1.0729465097268307,0.9070378213985749,0.809505906458543,4.111030196424612,4.111030196424611,2.971353914259878,1.0580823685878151,0.8947688016957291,0.22736380302698858,4.111030196424612,3.3935383836411113,0.8985833217295299,0.28304605990938325,0.12521455419872143,0.07397130227418502,4.038234582213829
11,4.269529586011698,1.4359697952416766,1.0606919622928952,0.8669932608267915,0.8076731807778017,4.269529586011698,4.269529586011698,2.933674798725263,1.0197669812632706,0.859023635727547,0.19586742749749514,4.269529586011698,3.5460488667260903,0.8603590232149912,0.19445502310677765,0.11888827025264968,0.09574106133807793,4.198595832825021
12,4.190145759007216,1.4731859466130255,1.0823761242246286,0.8988114515013169,0.8377412599648381,4.190145759007216,4.190145759007216,3.0241569605522383,1.0322397213984704,0.8579692656098621,0.2146566960361709,4.190145759007216,3.4547797530821804,0.8898130410113319,0.2587857523593526,0.12355807939315565,0.09772780501332472,4.05948338067427
13,4.14486215103637,1.4429094155780668,1.0752700067082284,0.897167271604099,0.818804760155323,4.14486215103637,4.14486215103637,2.9936593565258867,1.0543190834377323,0.8775849891688613,0.2318591014146032,4.14486215103637,3.4667345388047095,0.9226011834796027,0.22927680846928164,0.12902764967905214,0.1021810567325535,4.114036876945814
14,4.205018378742473,1.4981981040858363,1.0683151221124163,0.9023656760425781,0.8212394480317788,4.205018378742473,4.205018378742473,2.9934162378697695,1.050893923804097,0.8446457623573336,0.21158347312382875,4.205018378742473,3.5344999496082976,0.8687459592782986,0.20791736141393644,0.12257203100893055,0.0789647621447061,4.13020342606795
15,4.193090576392153,1.4058811167597678,1.050722432479565,0.8849997314210214,0.8106196602383668,4.193090576392154,4.193090576392153,2.967563581034028,1.0032837391948581,0.8290063675200428,0.22057340521580046,4.193090576392154,3.493468675667478,0.8789421457782103,0.22606331928344905,0.11261393615671565,0.06897784240366392,4.144949784042733
