dataset name,original size,type width,Dimension,decomposition,chunk no,decomposed huffman_compress compressed size (B),decomposed row-ordered huffman_compress compressed size (B),reordered huffman_compress compressed size (B),reordered row-ordered huffman_compress compressed size (B),standard huffman_compress compressed size (B),decomposed zstd compressed size (B),decomposed row-ordered zstd compressed size (B),reordered zstd compressed size (B),reordered row-ordered zstd compressed size (B),standard zstd compressed size (B),decomposed zlib compressed size (B),decomposed row-ordered zlib compressed size (B),reordered zlib compressed size (B),reordered row-ordered zlib compressed size (B),standard zlib compressed size (B),decomposed bz2 compressed size (B),decomposed row-ordered bz2 compressed size (B),reordered bz2 compressed size (B),reordered row-ordered bz2 compressed size (B),standard bz2 compressed size (B),decomposed snappy compressed size (B),decomposed row-ordered snappy compressed size (B),reordered snappy compressed size (B),reordered row-ordered snappy compressed size (B),standard snappy compressed size (B),decomposed fastlz compressed size (B),decomposed row-ordered fastlz compressed size (B),reordered fastlz compressed size (B),reordered row-ordered fastlz compressed size (B),standard fastlz compressed size (B),decomposed rle compressed size (B),decomposed row-ordered rle compressed size (B),reordered rle compressed size (B),reordered row-ordered rle compressed size (B),standard rle compressed size (B),WE,entropy word,entropy list,max rep,unique ratio
tpch_lineitem_f32,959776812,4,239944203,"( (1,), (0,3,), (2,), )",-1,542311491,542311491,642570786,642570786,642570786,450911422,462794202,450910095,462795491,396758093,456530014,457209046,456531987,457210662,341769513,347838680,360208212,347826784,360213395,287226075,716469902,717892470,716486688,717916291,583008533,712896639,755105528,712910274,755095830,593869749,1816690406,1749418264,1816690406,1749418264,1651830722,4.477485755374479,8.874978624777324,"(4.391790881832481,4.085194141239763,5.34776385718591,)","(7,5,6,)","(1.0669147110005404e-06,4.1884737677950905e-07,1.0669147110005404e-06,)"
tpch_lineitem_f32,959776812,4,239944203,"( (1,), (0,2,3,), )",-1,591203026,591203026,642570786,642570786,642570786,429032413,462794932,429032683,462795879,396758093,393864409,457209362,393864513,457209549,341769513,307629543,360239367,307619293,360212502,287226075,696750670,717899260,696753475,717883154,583008533,656922193,755100116,656921041,755105036,593869749,1764006174,1749418264,1764006174,1749418264,1651830722,4.900798078823465,8.874978624777324,"(4.391790881832481,5.070467144487127,)","(7,8,)","(1.0669147110005404e-06,3.5563823700018014e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (3,), (1,2,0,), )",-1,560292575,560292575,642570786,642570786,642570786,382224793,462796068,382228029,462795480,396758093,353615372,457209130,353615887,457209487,341769513,314919764,360216596,314928260,360200699,287226075,612796276,717905837,612817525,717902317,583008533,571013977,755100932,571016249,755101208,593869749,1736463762,1749418264,1736463762,1749418264,1651830722,4.644267738880147,8.874978624777324,"(2.707209699090472,5.289953752143372,)","(2,13,)","(3.750872030861275e-08,3.5563823700018014e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (1,0,2,), (3,), )",-1,560292575,560292575,642570786,642570786,642570786,376572604,462795276,376572766,462795879,396758093,357494763,457208919,357496310,457209549,341769513,311121967,360209791,311129501,360212502,287226075,572724238,717886382,572721007,717883154,583008533,592308043,755101481,592302726,755105036,593869749,1653309830,1749418264,1653309830,1749418264,1651830722,4.644267738880148,8.874978624777324,"(5.289953752143373,2.707209699090472,)","(12,2,)","(3.5563823700018014e-07,3.750872030861275e-08,)"
tpch_lineitem_f32,959776812,4,239944203,"( (1,0,), (3,2,), )",-1,568760946,568760946,642570786,642570786,642570786,426135557,462794987,426141126,462795491,396758093,393512453,457209383,393512870,457210662,341769513,303619185,360199108,303624661,360213395,287226075,633492789,717906372,633478657,717916291,583008533,601140312,755101527,601141980,755095830,593869749,1710110116,1749418264,1710110116,1749418264,1651830722,4.713370643522545,8.874978624777324,"(4.582189744422433,4.844551542622657,)","(15,5,)","(5.334573555002702e-07,5.334573555002702e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (0,1,3,), (2,), )",-1,591567472,591567472,642570786,642570786,642570786,419191632,462796290,419193495,462797019,396758093,402664936,457208986,402665887,457210802,341769513,313378473,360205601,313384967,360199704,287226075,658528583,717900752,658541221,717913380,583008533,625943595,755095901,625943622,755095937,593869749,1714935670,1749418264,1714935670,1749418264,1651830722,4.900320843306006,8.874978624777324,"(4.751173172012705,5.34776385718591,)","(8,6,)","(3.5563823700018014e-07,1.0669147110005404e-06,)"
tpch_lineitem_f32,959776812,4,239944203,"( (2,1,0,), (3,), )",-1,560292575,560292575,642570786,642570786,642570786,365122343,462792258,365122540,462792299,396758093,354125729,457208534,354127047,457209048,341769513,316725114,360216091,316727996,360221813,287226075,571502529,717907444,571499298,717904213,583008533,606029762,755099932,606024446,755094620,593869749,1650905696,1749418264,1650905696,1749418264,1651830722,4.644267738880147,8.874978624777324,"(5.289953752143372,2.707209699090472,)","(13,2,)","(3.5563823700018014e-07,3.750872030861275e-08,)"
tpch_lineitem_f32,959776812,4,239944203,"( (0,), (2,), (1,3,), )",-1,542379228,542379228,642570786,642570786,642570786,462803758,462795184,462833434,462797182,396758093,455220237,457208633,455221690,457209722,341769513,348945547,360206711,348969959,360249275,287226075,709231972,717892470,709227935,717860899,583008533,687595496,755105524,687605908,755095847,593869749,1807621338,1749418264,1807621338,1749418264,1651830722,4.479339801846983,8.874978624777324,"(3.739645272448871,5.34776385718591,4.414975038876575,)","(10,6,5,)","(8.335271179691722e-07,1.0669147110005404e-06,5.334573555002702e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (1,), (0,3,2,), )",-1,591203026,591203026,642570786,642570786,642570786,433989686,462795259,433980685,462795491,396758093,424887529,457211126,424888079,457210662,341769513,298970633,360197638,298978530,360213395,287226075,679890727,717874882,679893437,717916291,583008533,668539458,755105620,668542303,755095830,593869749,1785366120,1749418264,1785366120,1749418264,1651830722,4.900798078823465,8.874978624777324,"(4.391790881832481,5.070467144487127,)","(7,8,)","(1.0669147110005404e-06,3.5563823700018014e-07,)"
tpch_lineitem_f32,959776812,4,239944203,"( (3,0,1,), (2,), )",-1,591567472,591567472,642570786,642570786,642570786,421300166,462790550,421302302,462793261,396758093,403559504,457208702,403560170,457209612,341769513,308444620,360225220,308446469,360218686,287226075,660918442,717868421,660931069,717881072,583008533,631297933,755099965,631297961,755099998,593869749,1729260900,1749418264,1729260900,1749418264,1651830722,4.900320843306006,8.874978624777324,"(4.751173172012705,5.34776385718591,)","(8,6,)","(3.5563823700018014e-07,1.0669147110005404e-06,)"
